periodo;vl_fob;kg_liquido;preco
2015/01/01;423001592;957193130;0,4419
2015/02/01;411651039;910379550;0,4522
2015/03/01;461668553;1042064996;0,4430
2015/04/01;420356287;902494983;0,4658
2015/05/01;372442598;816637311;0,4561
2015/06/01;478502482;1071257389;0,4467
2015/07/01;546057419;1185744457;0,4605
2015/08/01;429116984;877660002;0,4889
2015/09/01;498002058;1025758385;0,4855
2015/10/01;587111637;1169725561;0,5019
2015/11/01;443536195;936560638;0,4736
2015/12/01;516709742;1069316524;0,4832
2016/01/01;491134443;1002589427;0,4899
2016/02/01;575450207;1324172048;0,4346
2016/03/01;403484708;966540776;0,4175
2016/04/01;438431950;1168481080;0,3752
2016/05/01;390203028;1014557797;0,3846
2016/06/01;447509180;1166263313;0,3837
2016/07/01;451870014;1159619953;0,3897
2016/08/01;433922074;1084656220;0,4001
2016/09/01;469038667;1172051886;0,4002
2016/10/01;456901243;1097628223;0,4163
2016/11/01;463789423;1102804373;0,4206
2016/12/01;548350174;1260750725;0,4349
2017/01/01;595365654;1482416778;0,4016
2017/02/01;374831148;941147583;0,3983
2017/03/01;435885456;1063721456;0,4098
2017/04/01;458604436;1062601007;0,4316
2017/05/01;527262305;1186268984;0,4445
2017/06/01;619962088;1363430404;0,4547
2017/07/01;496823880;1056171734;0,4704
2017/08/01;568796062;1179666622;0,4822
2017/09/01;559881580;1144829732;0,4891
2017/10/01;538338794;1078016614;0,4994
2017/11/01;551294802;1087985600;0,5067
2017/12/01;618189153;1195494856;0,5171
2018/01/01;714310700;1376037301;0,5191
2018/02/01;654661586;1274967692;0,5135
2018/03/01;764534499;1434666641;0,5329
2018/04/01;643561163;1173600519;0,5484
2018/05/01;727406648;1279727958;0,5684
2018/06/01;831645486;1423064401;0,5844
2018/07/01;603631861;1092057388;0,5527
2018/08/01;684260420;1213069497;0,5641
2018/09/01;647438836;1195494964;0,5416
2018/10/01;573515362;1046573774;0,5480
2018/11/01;601307255;1168578387;0,5146
2018/12/01;825894907;1511913300;0,5463
2019/01/01;999903346;1672744011;0,5978
2019/02/01;598686390;1063916297;0,5627
2019/03/01;607263674;1252331841;0,4849
2019/04/01;694831183;1298649713;0,5350
2019/05/01;845964927;1548155215;0,5464
2019/06/01;666141719;1219329733;0,5463
2019/07/01;565351698;1077666575;0,5246
2019/08/01;572010730;1250892116;0,4573
2019/09/01;473337353;1162855035;0,4070
2019/10/01;516922988;1319933149;0,3916
2019/11/01;462578819;1219466993;0,3793
2019/12/01;470070760;1205654241;0,3899
2020/01/01;527993000;1415402139;0,3730
2020/02/01;419531739;1075661892;0,3900
2020/03/01;563246875;1362421187;0,4134
2020/04/01;487209275;1217626253;0,4001
2020/05/01;584206456;1530816708;0,3816
2020/06/01;552984222;1514005337;0,3652
2020/07/01;469315503;1447285362;0,3243
2020/08/01;414159418;1260327025;0,3286
2020/09/01;466738292;1186789135;0,3933
2020/10/01;549513057;1450812743;0,3788
2020/11/01;548816014;1476269840;0,3718
2020/12/01;400382510;1276018906;0,3138
2021/01/01;402518031;1229885289;0,3273
2021/02/01;388770007;1149930800;0,3381
2021/03/01;533656611;1448271819;0,3685
2021/04/01;621941545;1472514929;0,4224
2021/05/01;636577990;1439954691;0,4421
2021/06/01;566218645;1332657368;0,4249
2021/07/01;595038973;1414132009;0,4208
2021/08/01;606070578;1331563187;0,4552
2021/09/01;509802270;1112626523;0,4582
2021/10/01;580623632;1255765947;0,4624
2021/11/01;613620294;1430162630;0,4291
2021/12/01;673070919;1643000147;0,4097
2022/01/01;625412064;1622085313;0,3856
2022/02/01;437007683;1130700497;0,3865
2022/03/01;654284032;1574743559;0,4155
2022/04/01;728791252;1709151586;0,4264
2022/05/01;760176888;1789156126;0,4249
2022/06/01;636554086;1462513950;0,4352
2022/07/01;678707402;1689379356;0,4017
2022/08/01;693741257;1573043141;0,4410
2022/09/01;858330856;2047336722;0,4192
2022/10/01;867362731;1985240070;0,4369
2022/11/01;766046159;1691286922;0,4529
2022/12/01;673722877;1524292827;0,4420
2023/01/01;752900385;1699428802;0,4430
2023/02/01;695974670;1559250290;0,4464
2023/03/01;806867525;1789774503;0,4508
2023/04/01;644549135;1560366733;0,4131
2023/05/01;624121514;1550332466;0,4026
2023/06/01;631690336;1526918471;0,4137
2023/07/01;684065642;1758402645;0,3890
2023/08/01;539919096;1358379795;0,3975
2023/09/01;641596351;1656209949;0,3874
2023/10/01;536987895;1356506398;0,3959
2023/11/01;667543931;1534039258;0,4352
2023/12/01;709295877;1750781910;0,4051
2024/01/01;707038371;1676524733;0,4217
2024/02/01;735806585;1617783309;0,4548
2024/03/01;787592482;1635499215;0,4816
2024/04/01;816789075;1670567971;0,4889
2024/05/01;923120458;1676394917;0,5507
2024/06/01;975193221;1674844878;0,5823
2024/07/01;1061438688;1729380154;0,6138
2024/08/01;765000485;1233222846;0,6203
2024/09/01;1027924043;1676196071;0,6132
2024/10/01;986743511;1780036851;0,5543
2024/11/01;864726227;1618628773;0,5342
2024/12/01;922153305;1697711265;0,5432
2025/01/01;1019199666;2064990266;0,4936
2025/02/01;767290875;1608994342;0,4769
2025/03/01;987762843;2106979530;0,4688
2025/04/01;736130171;1502265674;0,4900
2025/05/01;981695947;2112688315;0,4647
2025/06/01;873111633;1956435169;0,4463
2025/07/01;812310550;1908557469;0,4256
2025/08/01;690402620;1667664794;0,4140
2025/09/01;759271659;1843689555;0,4118
2025/10/01;816385051;1820901920;0,4483
2025/11/01;857757184;1781574520;0,4815
2025/12/01;863801732;1806942993;0,4780
